Hora_local;Dia_ano;Irradiancia_teorica;Irradiancia_ajustada;Temperatura;P_pv_inst;E_total;E_pv;E_grid;CO2
12:50;52;962.246;242.245;29.5;0.477262;0.0333333;0.00795437;0.025379;2.5379
12:51;52;961.311;242.01;29.5;0.476798;0.0333333;0.00794664;0.0253867;2.53867
12:52;52;960.358;241.77;29.5;0.476326;0.0333333;0.00793876;0.0253946;2.53946
12:53;52;959.386;241.525;29.5;0.475844;0.0333333;0.00793073;0.0254026;2.54026
12:54;52;958.396;241.276;29.5;0.475353;0.0333333;0.00792255;0.0254108;2.54108
12:55;52;957.389;241.023;29.5;0.474853;0.0333333;0.00791422;0.0254191;2.54191
12:56;52;956.363;240.764;29.5;0.474344;0.0333333;0.00790573;0.0254276;2.54276
12:57;52;955.319;240.501;29.5;0.473826;0.0333333;0.0078971;0.0254362;2.54362
12:58;52;954.256;240.234;29.5;0.473299;0.0333333;0.00788832;0.025445;2.5445
12:59;52;953.176;239.962;29.5;0.472764;0.0333333;0.00787939;0.0254539;2.54539
13:0;52;952.078;238.019;29.7;0.468468;0.0333333;0.0078078;0.0255255;2.55255
13:1;52;950.961;237.74;29.7;0.467919;0.0333333;0.00779865;0.0255347;2.55347
13:2;52;949.827;237.457;29.7;0.467361;0.0333333;0.00778935;0.025544;2.5544
13:3;52;948.675;237.169;29.7;0.466794;0.0333333;0.0077799;0.0255534;2.55534
13:4;52;947.504;236.876;29.7;0.466218;0.0333333;0.0077703;0.025563;2.5563
13:5;52;946.316;236.579;29.7;0.465633;0.0333333;0.00776055;0.0255728;2.55728
13:6;52;945.11;236.277;29.7;0.46504;0.0333333;0.00775066;0.0255827;2.55827
13:6;52;945.11;236.277;29.7;0.46504;0.0333333;0.00775066;0.0255827;2.55827
13:7;52;943.886;235.971;29.7;0.464437;0.0333333;0.00774062;0.0255927;2.55927
13:8;52;942.644;235.661;29.7;0.463826;0.0333333;0.00773044;0.0256029;2.56029
13:9;52;941.384;235.346;29.7;0.463206;0.0333333;0.00772011;0.0256132;2.56132
13:10;52;940.106;235.027;29.7;0.462578;0.0333333;0.00770963;0.0256237;2.56237
13:11;52;938.811;234.703;29.7;0.46194;0.0333333;0.00769901;0.0256343;2.56343
13:12;52;937.498;234.374;29.7;0.461294;0.0333333;0.00768824;0.0256451;2.56451
13:13;52;936.167;234.042;29.7;0.460639;0.0333333;0.00767732;0.025656;2.5656
13:14;52;934.818;233.704;29.7;0.459976;0.0333333;0.00766626;0.0256671;2.56671
13:15;52;933.451;233.363;29.8;0.459056;0.0333333;0.00765093;0.0256824;2.56824
13:16;52;932.067;233.017;29.8;0.458375;0.0333333;0.00763958;0.0256938;2.56938
13:17;52;930.666;232.666;29.8;0.457686;0.0333333;0.00762809;0.0257052;2.57052
13:18;52;929.246;232.312;29.8;0.456987;0.0333333;0.00761646;0.0257169;2.57169
13:19;52;927.809;231.952;29.8;0.456281;0.0333333;0.00760468;0.0257287;2.57287
13:20;52;926.355;231.589;29.8;0.455565;0.0333333;0.00759276;0.0257406;2.57406
13:21;52;924.883;231.221;29.8;0.454842;0.0333333;0.00758069;0.0257526;2.57526
13:22;52;923.393;230.848;29.8;0.454109;0.0333333;0.00756848;0.0257649;2.57649
13:23;52;921.886;230.471;29.8;0.453368;0.0333333;0.00755613;0.0257772;2.57772
13:23;52;921.886;230.471;29.8;0.453368;0.0333333;0.00755613;0.0257772;2.57772
13:24;52;920.361;230.09;29.8;0.452618;0.0333333;0.00754363;0.0257897;2.57897
13:25;52;918.819;229.705;29.8;0.45186;0.0333333;0.007531;0.0258023;2.58023
13:26;52;917.26;229.315;29.8;0.451093;0.0333333;0.00751821;0.0258151;2.58151
13:27;52;915.683;228.921;29.8;0.450317;0.0333333;0.00750529;0.025828;2.5828
13:28;52;914.089;228.522;29.8;0.449534;0.0333333;0.00749223;0.0258411;2.58411
13:29;52;912.478;228.119;29.8;0.448741;0.0333333;0.00747902;0.0258543;2.58543
13:30;52;910.849;227.712;29.8;0.448047;0.0333333;0.00746745;0.0258659;2.58659
13:31;52;909.203;227.301;29.8;0.447237;0.0333333;0.00745396;0.0258794;2.58794
13:32;52;907.54;226.885;29.8;0.446419;0.0333333;0.00744032;0.025893;2.5893
13:33;52;905.86;226.465;29.8;0.445593;0.0333333;0.00742655;0.0259068;2.59068
13:34;52;904.162;226.041;29.8;0.444758;0.0333333;0.00741263;0.0259207;2.59207
13:35;52;902.448;225.612;29.8;0.443914;0.0333333;0.00739857;0.0259348;2.59348
13:36;52;900.716;225.179;29.8;0.443063;0.0333333;0.00738438;0.025949;2.5949
13:37;52;898.967;224.742;29.8;0.442202;0.0333333;0.00737004;0.0259633;2.59633
13:38;52;897.202;224.3;29.8;0.441334;0.0333333;0.00735556;0.0259778;2.59778
13:39;52;895.419;223.855;29.8;0.440457;0.0333333;0.00734095;0.0259924;2.59924
13:40;52;893.619;223.405;29.8;0.439572;0.0333333;0.00732619;0.0260071;2.60071
13:41;52;891.803;222.951;29.8;0.438678;0.0333333;0.0073113;0.026022;2.6022
13:41;52;891.803;222.951;29.8;0.438678;0.0333333;0.0073113;0.026022;2.6022
13:42;52;889.969;222.492;29.8;0.437776;0.0333333;0.00729627;0.0260371;2.60371
13:43;52;888.119;222.03;29.8;0.436866;0.0333333;0.0072811;0.0260522;2.60522
13:44;52;886.252;221.563;29.8;0.435948;0.0333333;0.00726579;0.0260675;2.60675
13:45;52;884.368;221.092;29.8;0.435125;0.0333333;0.00725208;0.0260813;2.60813
13:46;52;882.467;220.617;29.8;0.434189;0.0333333;0.00723649;0.0260968;2.60968
13:47;52;880.55;220.137;29.8;0.433246;0.0333333;0.00722077;0.0261126;2.61126
13:48;52;878.616;219.654;29.8;0.432295;0.0333333;0.00720491;0.0261284;2.61284
13:49;52;876.665;219.166;29.8;0.431335;0.0333333;0.00718891;0.0261444;2.61444
13:50;52;874.698;218.674;29.8;0.430367;0.0333333;0.00717278;0.0261606;2.61606
13:51;52;872.714;218.178;29.8;0.429391;0.0333333;0.00715651;0.0261768;2.61768
13:52;52;870.713;217.678;29.8;0.428406;0.0333333;0.00714011;0.0261932;2.61932
13:53;52;868.697;217.174;29.8;0.427414;0.0333333;0.00712357;0.0262098;2.62098
13:54;52;866.663;216.666;29.8;0.426414;0.0333333;0.0071069;0.0262264;2.62264
13:55;52;864.614;216.153;29.8;0.425405;0.0333333;0.00709009;0.0262432;2.62432
13:56;52;862.547;215.637;29.8;0.424389;0.0333333;0.00707315;0.0262602;2.62602
13:57;52;860.465;215.116;29.8;0.423364;0.0333333;0.00705607;0.0262773;2.62773
13:58;52;858.366;214.592;29.8;0.422332;0.0333333;0.00703886;0.0262945;2.62945
13:59;52;856.251;214.063;29.8;0.421291;0.0333333;0.00702152;0.0263118;2.63118
14:0;52;854.12;854.12;0;1.70824;0.0333333;0.0284707;0.00486266;0.486266
14:1;52;851.973;347.179;29.8;0.683273;0.0333333;0.0113879;0.0219454;2.19454
14:1;52;851.973;347.179;29.8;0.683273;0.0333333;0.0113879;0.0219454;2.19454
14:2;52;849.81;346.297;29.8;0.681538;0.0333333;0.011359;0.0219744;2.19744
14:3;52;847.63;345.409;29.8;0.67979;0.0333333;0.0113298;0.0220035;2.20035
14:4;52;845.435;344.515;29.8;0.678029;0.0333333;0.0113005;0.0220328;2.20328
14:5;52;843.223;343.613;29.8;0.676256;0.0333333;0.0112709;0.0220624;2.20624
14:6;52;840.995;342.706;29.8;0.674469;0.0333333;0.0112412;0.0220922;2.20922
14:7;52;838.752;341.791;29.8;0.67267;0.0333333;0.0112112;0.0221222;2.21222
14:8;52;836.493;340.871;29.8;0.670858;0.0333333;0.011181;0.0221524;2.21524
14:9;52;834.218;339.944;29.8;0.669033;0.0333333;0.0111506;0.0221828;2.21828
14:10;52;831.927;339.01;29.8;0.667196;0.0333333;0.0111199;0.0222134;2.22134
14:11;52;829.62;338.07;29.8;0.665346;0.0333333;0.0110891;0.0222442;2.22442
14:12;52;827.298;337.124;29.8;0.663484;0.0333333;0.0110581;0.0222753;2.22753
14:13;52;824.96;336.171;29.8;0.661608;0.0333333;0.0110268;0.0223065;2.23065
14:14;52;822.606;335.212;29.8;0.659721;0.0333333;0.0109953;0.022338;2.2338
14:15;52;820.237;334.246;29.7;0.658333;0.0333333;0.0109722;0.0223611;2.23611
14:16;52;817.852;333.275;29.7;0.656419;0.0333333;0.0109403;0.022393;2.2393
14:17;52;815.452;332.297;29.7;0.654492;0.0333333;0.0109082;0.0224251;2.24251
14:18;52;813.036;331.312;29.7;0.652553;0.0333333;0.0108759;0.0224574;2.24574
14:18;52;813.036;331.312;29.7;0.652553;0.0333333;0.0108759;0.0224574;2.24574
14:19;52;810.605;330.322;29.7;0.650602;0.0333333;0.0108434;0.02249;2.249
14:20;52;808.159;329.325;29.7;0.648639;0.0333333;0.0108106;0.0225227;2.25227
14:21;52;805.697;328.322;29.7;0.646663;0.0333333;0.0107777;0.0225556;2.25556
14:22;52;803.22;327.312;29.7;0.644675;0.0333333;0.0107446;0.0225887;2.25887
14:23;52;800.728;326.297;29.7;0.642675;0.0333333;0.0107112;0.0226221;2.26221
14:24;52;798.221;325.275;29.7;0.640662;0.0333333;0.0106777;0.0226556;2.26556
14:25;52;795.698;324.247;29.7;0.638638;0.0333333;0.010644;0.0226894;2.26894
14:26;52;793.161;323.213;29.7;0.636601;0.0333333;0.01061;0.0227233;2.27233
14:27;52;790.609;322.173;29.7;0.634553;0.0333333;0.0105759;0.0227575;2.27575
14:28;52;788.041;321.127;29.7;0.632492;0.0333333;0.0105415;0.0227918;2.27918
14:29;52;785.459;320.074;29.7;0.63042;0.0333333;0.010507;0.0228263;2.28263
14:30;52;782.862;319.016;29.5;0.629263;0.0333333;0.0104877;0.0228456;2.28456
14:31;52;780.25;317.952;29.5;0.627163;0.0333333;0.0104527;0.0228806;2.28806
14:32;52;777.623;316.881;29.5;0.625052;0.0333333;0.0104175;0.0229158;2.29158
14:33;52;774.982;315.805;29.5;0.622929;0.0333333;0.0103821;0.0229512;2.29512
14:34;52;772.326;314.723;29.5;0.620794;0.0333333;0.0103466;0.0229868;2.29868
14:35;52;769.655;313.634;29.5;0.618647;0.0333333;0.0103108;0.0230225;2.30225
14:35;52;769.655;313.634;29.5;0.618647;0.0333333;0.0103108;0.0230225;2.30225
